id,year_binding,year_petition,parish,county_name,county,geo_parish,llp_id,gbpnid
7626,1573,1577,Ruscombe,Berkshire,Berkshire,Ruscombe,NA,38854
7640,1573,1577,Ruscombe,Berkshire,Berkshire,Ruscombe,NA,38854
9807,1574,1578,London,London,Middlesex,NA,NA,NA
10003,1574,1578,London,London,Middlesex,NA,NA,NA
13537,1573,1577,Ipswich,Suffolk,Suffolk,Ipswich,NA,23691
14010,1577,1578,Dawston,Cumberland,Cumberland,NA,NA,NA
4203,1583,NA,Tamworth,Staffordshire,Staffordshire,Tamworth,NA,43773
10789,1567,NA,Derby,Derbyshire,Derbyshire,Derby,NA,12974
3434,1620,1625,London,London,Middlesex,NA,NA,NA
13528,1621,1625,Elstead,Surrey,Surrey,Elstead,NA,15123
9134,1572,1573,London,London,Middlesex,NA,NA,NA
10971,1572,1574,Northampton,Northamptonshire,Northamptonshire,Northampton,NA,33285
12273,1570,1573,Ludgershall,Buckinghamshire,Buckinghamshire,Ludgershall,NA,28775
1604,1569,1574,Cheadle,Cheshire,Cheshire,Cheadle,NA,8903
6227,1574,1578,East Henreth,Berkshire,Berkshire,NA,NA,NA
6191,1586,1588,St Paul's Walden,Hertfordshire,Hertfordshire,St Paul's Walden,NA,41902
6786,1584,1588,St Botolph Aldgate,London,Middlesex,St Botolph Aldgate,ID_30153,NA
11127,1586,1588,Hadham,Hertfordshire,Hertfordshire,NA,NA,NA
11171,1586,1587,London,London,Middlesex,NA,NA,NA
61,1642,1644,"Audley, Saffron Walden",Essex,Essex,NA,NA,NA
387,1641,1644,Whalley,Lancashire,Lancashire,Whalley,NA,49232
414,1607,1610,Ravensden,Bedfordshire,Bedfordshire,Ravensden,NA,37479
428,1614,1620,London,London,Middlesex,NA,NA,NA
557,1621,1623,Weston upon Fromey,Herefordshire,Herefordshire,NA,NA,NA
676,1657,1661,London,London,Middlesex,NA,NA,NA
755,1609,1611,Maidstone,Kent,Kent,Maidstone,NA,29156
765,1632,1632,St Andrew Holborn,London,Middlesex,St Andrew Holborn,ID_127848,NA
777,1623,1629,London,London,Middlesex,NA,NA,NA
791,1639,1644,Melbury Osmond,Dorset,Dorset,Melbury Osmond,NA,29918
826,1631,1635,Darrant,Kent,Kent,NA,NA,NA
898,1628,1631,Blagdon,Somerset,Somerset,Blagdon,NA,4196
899,1627,1633,Netherdale,Yorkshire,Yorkshire,NA,NA,NA
954,1623,1626,Polesworth,Warwickshire,Warwickshire,Polesworth,NA,36202
987,1621,1625,Sheldwich,Kent,Kent,Sheldwich,NA,39993
1041,1607,1611,Hambridge,Cheshire,Cheshire,NA,NA,NA
1087,1608,1609,Bowden,Northamptonshire,Northamptonshire,NA,NA,NA
1094,1658,1662,Knowstone,Devon,Devon,Knowstone,NA,25158
1110,1625,1629,London,London,Middlesex,NA,NA,NA
1111,1625,1629,London,London,Middlesex,NA,NA,NA
1216,1637,1643,Brownecoite,Flintshire,Flintshire,NA,NA,NA
1392,1634,1637,Hillington,Middlesex,Middlesex,NA,NA,NA
1531,1658,1661,St Olave Southwark,Surrey,Surrey,St Olave Southwark,ID_30002,NA
1550,1606,1610,Norlich,Oxfordshire,Oxfordshire,NA,NA,NA
1682,1645,1647,London,London,Middlesex,NA,NA,NA
1691,1627,1629,Hoddesdon,Hertfordshire,Hertfordshire,Hoddesdon,NA,22185
1695,1602,1607,Caston,Norfolk,Norfolk,Caston,NA,8285
1860,1656,1661,London,London,Middlesex,NA,NA,NA
