Monarch	mAge 	Consort	cAge 	Year of marriage 	Age diff.
William I 	25 	Matilda of Flanders 	22 	1053 	3
Henry I 	32 	Matilda of Scotland 	20 	1100 	12
	53 	Adeliza of Louvain 	18 	1121 	35
Stephen 	29 	Matilda of Boulogne 	20 	1125 	9
Henry II 	19 	Eleanor of Aquitaine 	30 	1152 	-11
Richard I 	34 	Berengaria of Navarre 	26 	1191 	8
John 	23 	Isabel of Gloucester 	16 	1189 	7
	34 	Isabella of Angoulême 	12 	1200 	22
Henry III 	29 	Eleanor of Provence 	13 	1236 	16
Edward I 	15 	Eleanor of Castile 	13 	1254 	2
	60 	Margaret of France 	20 	1299 	40
Edward II 	24 	Isabella of France 	13 	1308 	11
Edward III 	16 	Philippa of Hainault 	14 	1328 	2
Richard II 	15 	Anne of Bohemia 	16 	1382 	-1
	29 	Isabella of Valois 	7 	1396 	22
Henry IV 	14 	Mary de Bohun 	12 	1380 	2
	37 	Joanna of Navarre 	33 	1403 	4
Henry V 	34 	Catherine of Valois 	19 	1420 	15
Henry VI 	24 	Margaret of Anjou 	15 	1445 	9
Edward IV 	22 	Elizabeth Woodville 	27 	1464 	-5
Richard III 	20 	Anne Neville 	16 	1472 	4
Henry VII 	29 	Elizabeth of York 	20 	1486 	9
Henry VIII 	18 	Catherine of Aragon 	24 	1509 	-6
	42 	Anne Boleyn 	32 	1533 	10
	45 	Jane Seymour 	28 	1536 	17
	49 	Anne of Cleves 	25 	1540 	24
	49 	Catherine Howard 	19 	1540 	30
	52 	Catherine Parr 	31 	1543 	21
Mary I 	38 	Philip II of Spain 	27 	1554 	11
James I 	23 	Anne of Denmark 	15 	1589 	8
Charles I 	25 	Henrietta Maria of France 	16 	1625 	9
Charles II 	32 	Catherine of Braganza 	24 	1662 	8
James II 	27 	Anne Hyde 	22 	1660 	5
	40 	Mary of Modena 	15 	1673 	25
Mary II 	15 	William III 	27 	1677 	-12
William III 	27 	Mary II 	15 	1677 	12
Anne 	18 	George of Denmark 	30 	1683 	-12
George I 	22 	Sophia Dorothea of Brunswick-Lueneburg-Celle 	16 	1682 	6
George II 	22 	Caroline of Ansbach 	22 	1705 	0
George III 	23 	Charlotte of Mecklenburg-Strelitz 	17 	1761 	6
George IV 	23 	Maria Anne Fitzherbert 	29 	1785 	-6
	33 	Caroline of Brunswick 	27 	1795 	6
William IV 	53 	Adelaide of Saxe-Meiningen 	26 	1818 	27
Victoria 	21 	Albert of Saxe-Coburg and Gotha 	21 	1840 	0
Edward VII 	22 	Alexandra of Denmark 	19 	1863 	3
George V 	28 	Mary of Teck 	26 	1893 	2
Edward VIII 	43 	Wallis Warfield Simpson 	41 	1937 	2
George VI 	28 	Elizabeth Bowes-Lyon 	23 	1923 	5
Elizabeth II 	21 	Philip of Greece and Denmark 	26 	1947 	-5
