county,country,total
Anglesey,Wales,33806
Bedfordshire,England,63393
Berkshire,England,109215
Breconshire,Wales,31633
Buckinghamshire,England,107444
Caernarvonshire,Wales,41521
Cambridgeshire,England,89346
Cardiganshire,Wales,42956
Carmarthenshire,Wales,67317
Cheshire,England,191751
Cornwall,England,188269
County Durham,England,160361
Cumberland,England,117230
Denbighshire,Wales,60352
Derbyshire,England,161142
Devon,England,343001
Dorset,England,115319
Essex,England,226437
Flintshire,Wales,39622
Glamorgan,Wales,71525
Gloucestershire,England,250809
Hampshire,England,219656
Herefordshire,England,89191
Hertfordshire,England,97577
Huntingdonshire,England,37568
Kent,England,307624
Lancashire,England,672731
Leicestershire,England,130081
Lincolnshire,England,208557
Merionethshire,Wales,29506
Middlesex,England,818129
Monmouthshire,Wales,45582
Montgomeryshire,Wales,47978
Norfolk,England,273371
Northamptonshire,England,131757
Northumberland,England,157101
Nottinghamshire,England,140350
Oxfordshire,England,109620
Pembrokeshire,Wales,56280
Radnorshire,Wales,19050
Rutland,England,16356
Shropshire,England,167639
Somerset,England,273750
Staffordshire,England,239153
Suffolk,England,210431
Surrey,England,269043
Sussex,England,159311
Warwickshire,England,208190
Westmorland,England,41617
Wiltshire,England,185107
Worcestershire,England,139333
Yorkshire,England,858892
