age,gender,year,deaths
0,female,1963,7641
0,male,1963,10401
1,female,1963,537
1,male,1963,665
2,female,1963,288
2,male,1963,378
3,female,1963,221
3,male,1963,261
4,female,1963,186
4,male,1963,244
5,female,1963,145
5,male,1963,198
6,female,1963,115
6,male,1963,181
7,female,1963,92
7,male,1963,167
8,female,1963,98
8,male,1963,154
9,female,1963,72
9,male,1963,143
10,female,1963,71
10,male,1963,136
11,female,1963,58
11,male,1963,111
12,female,1963,79
12,male,1963,126
13,female,1963,92
13,male,1963,142
14,female,1963,87
14,male,1963,170
15,female,1963,97
15,male,1963,208
16,female,1963,142
16,male,1963,328
17,female,1963,127
17,male,1963,329
18,female,1963,138
18,male,1963,387
19,female,1963,128
19,male,1963,410
20,female,1963,125
20,male,1963,385
21,female,1963,140
21,male,1963,345
22,female,1963,126
22,male,1963,302
23,female,1963,142
23,male,1963,302
24,female,1963,119
24,male,1963,322
25,female,1963,162
25,male,1963,278
26,female,1963,155
26,male,1963,313
27,female,1963,165
27,male,1963,296
28,female,1963,160
28,male,1963,291
29,female,1963,215
29,male,1963,299
30,female,1963,200
30,male,1963,311
31,female,1963,215
31,male,1963,338
32,female,1963,283
32,male,1963,386
33,female,1963,282
33,male,1963,385
34,female,1963,307
34,male,1963,407
35,female,1963,330
35,male,1963,454
36,female,1963,384
36,male,1963,476
37,female,1963,383
37,male,1963,586
38,female,1963,495
38,male,1963,613
39,female,1963,545
39,male,1963,679
40,female,1963,544
40,male,1963,834
41,female,1963,652
41,male,1963,872
42,female,1963,819
42,male,1963,1189
43,female,1963,884
43,male,1963,1227
44,female,1963,689
44,male,1963,992
45,female,1963,732
45,male,1963,1099
46,female,1963,912
46,male,1963,1227
47,female,1963,1114
47,male,1963,1659
48,female,1963,1263
48,male,1963,1864
49,female,1963,1515
49,male,1963,2068
50,female,1963,1452
50,male,1963,2395
51,female,1963,1548
51,male,1963,2506
52,female,1963,1779
52,male,1963,2945
53,female,1963,1852
53,male,1963,3237
54,female,1963,2073
54,male,1963,3637
55,female,1963,2183
55,male,1963,3998
56,female,1963,2419
56,male,1963,4415
57,female,1963,2554
57,male,1963,4872
58,female,1963,2744
58,male,1963,5322
59,female,1963,3078
59,male,1963,6022
60,female,1963,3207
60,male,1963,6201
61,female,1963,3376
61,male,1963,6275
62,female,1963,4013
62,male,1963,7248
63,female,1963,4249
63,male,1963,7383
64,female,1963,4343
64,male,1963,7268
65,female,1963,4648
65,male,1963,7291
66,female,1963,4786
66,male,1963,7168
67,female,1963,5578
67,male,1963,7644
68,female,1963,6073
68,male,1963,7951
69,female,1963,6303
69,male,1963,8045
70,female,1963,6823
70,male,1963,8364
71,female,1963,6955
71,male,1963,8139
72,female,1963,7705
72,male,1963,8665
73,female,1963,8334
73,male,1963,8779
74,female,1963,8803
74,male,1963,8815
75,female,1963,9150
75,male,1963,8609
76,female,1963,9465
76,male,1963,8679
77,female,1963,9685
77,male,1963,8487
78,female,1963,10269
78,male,1963,8479
79,female,1963,10241
79,male,1963,7983
80,female,1963,10326
80,male,1963,7505
81,female,1963,9989
81,male,1963,7118
82,female,1963,10510
82,male,1963,7190
83,female,1963,9900
83,male,1963,6446
84,female,1963,9024
84,male,1963,5668
85,female,1963,8570
85,male,1963,5054
86,female,1963,7749
86,male,1963,4592
87,female,1963,6969
87,male,1963,3882
88,female,1963,5941
88,male,1963,3207
89,female,1963,4970
89,male,1963,2570
90,female,1963,3987
90,male,1963,1869
91,female,1963,3193
91,male,1963,1432
92,female,1963,2608
92,male,1963,1079
93,female,1963,1980
93,male,1963,722
94,female,1963,1461
94,male,1963,503
95,female,1963,1014
95,male,1963,329
96,female,1963,751
96,male,1963,216
97,female,1963,503
97,male,1963,105
98,female,1963,353
98,male,1963,70
99,female,1963,192
99,male,1963,45
100,female,1963,142
100,male,1963,20
101,female,1963,82
101,male,1963,15
102,female,1963,34
102,male,1963,7
103,female,1963,21
103,male,1963,2
104,female,1963,14
104,male,1963,3
105,female,1963,16
105,male,1963,1
0,female,1964,7434
0,male,1964,10011
1,female,1964,476
1,male,1964,588
2,female,1964,283
2,male,1964,354
3,female,1964,208
3,male,1964,254
4,female,1964,171
4,male,1964,218
5,female,1964,145
5,male,1964,212
6,female,1964,109
6,male,1964,157
7,female,1964,102
7,male,1964,160
8,female,1964,100
8,male,1964,144
9,female,1964,81
9,male,1964,135
10,female,1964,74
10,male,1964,122
11,female,1964,72
11,male,1964,123
12,female,1964,77
12,male,1964,135
13,female,1964,93
13,male,1964,143
14,female,1964,86
14,male,1964,164
15,female,1964,107
15,male,1964,197
16,female,1964,167
16,male,1964,355
17,female,1964,141
17,male,1964,467
18,female,1964,141
18,male,1964,416
19,female,1964,167
19,male,1964,424
20,female,1964,161
20,male,1964,389
21,female,1964,153
21,male,1964,369
22,female,1964,127
22,male,1964,313
23,female,1964,132
23,male,1964,317
24,female,1964,132
24,male,1964,303
25,female,1964,167
25,male,1964,321
26,female,1964,159
26,male,1964,282
27,female,1964,163
27,male,1964,286
28,female,1964,173
28,male,1964,308
29,female,1964,204
29,male,1964,312
30,female,1964,202
30,male,1964,313
31,female,1964,192
31,male,1964,333
32,female,1964,244
32,male,1964,344
33,female,1964,264
33,male,1964,393
34,female,1964,272
34,male,1964,417
35,female,1964,294
35,male,1964,444
36,female,1964,312
36,male,1964,502
37,female,1964,386
37,male,1964,550
38,female,1964,452
38,male,1964,647
39,female,1964,453
39,male,1964,716
40,female,1964,557
40,male,1964,792
41,female,1964,595
41,male,1964,870
42,female,1964,780
42,male,1964,1026
43,female,1964,890
43,male,1964,1174
44,female,1964,994
44,male,1964,1306
45,female,1964,719
45,male,1964,1100
46,female,1964,844
46,male,1964,1198
47,female,1964,996
47,male,1964,1490
48,female,1964,1083
48,male,1964,1604
49,female,1964,1390
49,male,1964,2060
50,female,1964,1482
50,male,1964,2293
51,female,1964,1484
51,male,1964,2439
52,female,1964,1657
52,male,1964,2891
53,female,1964,1869
53,male,1964,3134
54,female,1964,2065
54,male,1964,3554
55,female,1964,2040
55,male,1964,3859
56,female,1964,2355
56,male,1964,4312
57,female,1964,2408
57,male,1964,4724
58,female,1964,2702
58,male,1964,5187
59,female,1964,2903
59,male,1964,5574
60,female,1964,3182
60,male,1964,5868
61,female,1964,3230
61,male,1964,6146
62,female,1964,3604
62,male,1964,6804
63,female,1964,4052
63,male,1964,7333
64,female,1964,4310
64,male,1964,7526
65,female,1964,4497
65,male,1964,7147
66,female,1964,4667
66,male,1964,6853
67,female,1964,5224
67,male,1964,7361
68,female,1964,5461
68,male,1964,7393
69,female,1964,5886
69,male,1964,7694
70,female,1964,6336
70,male,1964,7665
71,female,1964,6411
71,male,1964,7766
72,female,1964,6994
72,male,1964,8055
73,female,1964,7758
73,male,1964,8097
74,female,1964,8283
74,male,1964,8225
75,female,1964,8387
75,male,1964,7996
76,female,1964,8624
76,male,1964,8028
77,female,1964,8707
77,male,1964,7623
78,female,1964,9067
78,male,1964,7626
79,female,1964,9254
79,male,1964,7324
80,female,1964,9382
80,male,1964,6811
81,female,1964,9166
81,male,1964,6255
82,female,1964,9075
82,male,1964,6174
83,female,1964,9176
83,male,1964,5661
84,female,1964,8634
84,male,1964,5302
85,female,1964,7700
85,male,1964,4536
86,female,1964,7027
86,male,1964,4047
87,female,1964,6218
87,male,1964,3327
88,female,1964,5306
88,male,1964,2812
89,female,1964,4696
89,male,1964,2304
90,female,1964,3631
90,male,1964,1682
91,female,1964,2940
91,male,1964,1204
92,female,1964,2358
92,male,1964,968
93,female,1964,1802
93,male,1964,689
94,female,1964,1341
94,male,1964,443
95,female,1964,909
95,male,1964,298
96,female,1964,719
96,male,1964,205
97,female,1964,464
97,male,1964,124
98,female,1964,306
98,male,1964,82
99,female,1964,188
99,male,1964,52
100,female,1964,135
