year,month,deaths
2011,Jan,49992
2011,Feb,39350
2011,Mar,44209
2011,Apr,36943
2011,May,40100
2011,Jun,40000
2011,Jul,35646
2011,Aug,38383
2011,Sep,38358
2011,Oct,37200
2011,Nov,40624
2011,Dec,43562
2012,Jan,46897
2012,Feb,44537
2012,Mar,44142
2012,Apr,41685
2012,May,44008
2012,Jun,36680
2012,Jul,39293
2012,Aug,39035
2012,Sep,35216
2012,Oct,43169
2012,Nov,42124
2012,Dec,42545
2013,Jan,52898
2013,Feb,43778
2013,Mar,44915
2013,Apr,49735
2013,May,42273
2013,Jun,35866
2013,Jul,39806
2013,Aug,35691
2013,Sep,36775
2013,Oct,42322
2013,Nov,39941
2013,Dec,42790
2014,Jan,49026
2014,Feb,41199
2014,Mar,41217
2014,Apr,41487
2014,May,39422
2014,Jun,38505
2014,Jul,41244
2014,Aug,35959
2014,Sep,40979
2014,Oct,43159
2014,Nov,39457
2014,Dec,49770
2015,Jan,60891
2015,Feb,46721
2015,Mar,47895
2015,Apr,45178
2015,May,39343
2015,Jun,42082
2015,Jul,40512
2015,Aug,36199
2015,Sep,41573
2015,Oct,42232
2015,Nov,41520
2015,Dec,45509
