"inquisition_img","given","surname"
"WACWIC652000003","Edward","Kingdom"
"WACWIC652000003","Edward","Lewis"
"WACWIC652000003","Edward","Thornhill"
"WACWIC652000003","George","Stephens"
"WACWIC652000003","James","Morris"
"WACWIC652000003","Jno","Feary"
"WACWIC652000003","Jno","Foster"
"WACWIC652000003","John","Feary"
"WACWIC652000003","John","Foster"
"WACWIC652000003","John","Manders"
"WACWIC652000003","John","Miller"
"WACWIC652000003","John","Smith"
"WACWIC652000003","John","Stephens"
"WACWIC652000003","Joseph","Bladzer"
"WACWIC652000003","Joseph","Bladzers"
"WACWIC652000003","Joseph","Clarke"
"WACWIC652000003","Paul","Rooke"
"WACWIC652000003","Richard","Platt"
"WACWIC652000003","Robee","Sherwin"
"WACWIC652000003","Robert","Maxfeild"
"WACWIC652000003","Samuel","Ayris"
"WACWIC652000003","Thomas","Green"
"WACWIC652000003","Thomas","Holmes"
"WACWIC652000003","Thomas","Scrofield"
"WACWIC652000003","William","Ayre"
"WACWIC652000003","William","Reeves"
"WACWIC652000003","William","Wakefeild"
"WACWIC652000005","Francis","Norris"
"WACWIC652000005","George","Tatton"
"WACWIC652000005","James","Johnston"
"WACWIC652000005","Jno","Feary"
"WACWIC652000005","John","Feary"
"WACWIC652000005","John","Marriott"
"WACWIC652000005","John","Matthews"
"WACWIC652000005","John","Ryall"
"WACWIC652000005","Matthew","Wiggins"
"WACWIC652000005","Matthias","Meacham"
"WACWIC652000005","Silas","Paine"
"WACWIC652000005","Thomas","Castle"
"WACWIC652000005","Thomas","Owen"
"WACWIC652000005","Thomas","Rigg"
"WACWIC652000005","Thos","Rigg"
"WACWIC652000005","William","Pawsey"
"WACWIC652000005","William","Stratford"
"WACWIC652000007","James","Moncur"
"WACWIC652000007","Jno","Feary"
"WACWIC652000007","John","Bagley"
"WACWIC652000007","John","Drapen"
"WACWIC652000007","John","Feary"
"WACWIC652000007","John","Marchaux"
"WACWIC652000007","Joseph","Hall"
"WACWIC652000007","Martha","Strong"
"WACWIC652000007","Noah","Babber"
"WACWIC652000007","Peter","Bartholomew"
"WACWIC652000007","Peter","Peterson"
"WACWIC652000007","Philip","Andrews"
"WACWIC652000007","Richard","Adams"
"WACWIC652000007","Richard","Bickenton"
"WACWIC652000007","Richard","Butt"
"WACWIC652000007","Richd","Adams"
"WACWIC652000007","Robert","Triphock"
"WACWIC652000007","Thomas","Coles"
"WACWIC652000007","Thomas","Littlejohn"
"WACWIC652000007","Thomas","Love"
"WACWIC652000007","Thomas","Pew"
"WACWIC652000007","William","Ackley"
"WACWIC652000007","William","Dorsett"
"WACWIC652000007","William","Gray"
"WACWIC652000009","Cary","Boncher"
"WACWIC652000009","Cary","Boucher"
"WACWIC652000009","Charles","Clarke"
"WACWIC652000009","Charles","Macgregor"
"WACWIC652000009","Edward","Gales"
"WACWIC652000009","Humphrey","Goddard"
"WACWIC652000009","James","Wilshire"
"WACWIC652000009","Jno","Feary"
"WACWIC652000009","John","Arnold"
"WACWIC652000009","John","Feary"
"WACWIC652000009","John","Peirson"
"WACWIC652000009","Joseph","Hawkins"
"WACWIC652000009","Nathaniel","Gunn"
"WACWIC652000009","Paul","Tibboe"
"WACWIC652000009","Richard","Garrett"
"WACWIC652000009","Richard","Martin"
"WACWIC652000009","Richard","Sill"
"WACWIC652000009","Titus","Wilson"
"WACWIC652000009","William","Evans"
"WACWIC652000009","William","Morgan"
"WACWIC652000011","Christopher","Nettleton"
"WACWIC652000011","Edward","Plasted"
"WACWIC652000011","Henry","Hubbard"
"WACWIC652000011","James","Reeves"
"WACWIC652000011","Jno","Feary"
"WACWIC652000011","John","Feary"
"WACWIC652000011","John","Hainslow"
"WACWIC652000011","John","Miller"
"WACWIC652000011","John","Newall"
"WACWIC652000011","John","North"
"WACWIC652000011","John","Stevens"
"WACWIC652000011","John","Wills"
"WACWIC652000011","John","Wilson"
"WACWIC652000011","Joseph","Calway"
"WACWIC652000011","Paul","Webster"
"WACWIC652000011","Thomas","Beven"
"WACWIC652000011","Thomas","Burton"
"WACWIC652000011","Thomas","Hall"
"WACWIC652000011","Thos","Bevan"
"WACWIC652000011","William","James"
"WACWIC652000011","William","Lewis"
"WACWIC652000011","William","Skates"
"WACWIC652000013","Ann","Keppell"
"WACWIC652000013","David","Burnsal"
"WACWIC652000013","David","Burnsall"
"WACWIC652000013","Edward","Hunt"
"WACWIC652000013","Edward","Strut"
"WACWIC652000013","Francis","Johnson"
"WACWIC652000013","Francis","Johnston"
"WACWIC652000013","James","Crosby"
"WACWIC652000013","Jenkin","Edwards"
"WACWIC652000013","Jno","Feary"
"WACWIC652000013","Jno","Thomas"
"WACWIC652000013","John","Barlow"
"WACWIC652000013","John","Eldridge"
"WACWIC652000013","John","Feary"
"WACWIC652000013","John","Roome"
"WACWIC652000013","John","Roomer"
"WACWIC652000013","John","Thomas"
"WACWIC652000013","Joseph","Bear"
"WACWIC652000013","Joseph","Beer"
"WACWIC652000013","Richard","Clements"
"WACWIC652000013","Richd","Clements"
"WACWIC652000013","Saml","Adams"
"WACWIC652000013","Samuel","Adams"
"WACWIC652000013","Tho","Ewstead"
"WACWIC652000013","Thomas","Eustace"
"WACWIC652000013","Thomas","Eyres"
"WACWIC652000013","Thomas","Hutchinson"
"WACWIC652000013","Thomas","Thompson"
"WACWIC652000013","Thomas","Webb"
"WACWIC652000013","Thos","Hutchinson"
"WACWIC652000013","Thos","Thompson"
"WACWIC652000013","Walter","Russell"
"WACWIC652000013","Watter","Russell"
"WACWIC652000013","William","Buxton"
"WACWIC652000013","William","Davis"
"WACWIC652000013","William","Green"
"WACWIC652000013","William","Morris"
"WACWIC652000013","Wm","Davies"
"WACWIC652000015","Abel","Morwen"
"WACWIC652000015","Edmond","Dunn"
"WACWIC652000015","Edward","Martin"
"WACWIC652000015","George","Scott"
"WACWIC652000015","Henry","Shackleton"
"WACWIC652000015","James","Burton"
"WACWIC652000015","James","Flanderkin"
"WACWIC652000015","James","Nugent"
"WACWIC652000015","Jno","Feary"
"WACWIC652000015","John","Burn"
"WACWIC652000015","John","Feary"
"WACWIC652000015","John","Morris"
"WACWIC652000015","Joseph","Winter"
"WACWIC652000015","Lawrence","Quin"
"WACWIC652000015","Martin","Smith"
"WACWIC652000015","Robert","Mackaw"
"WACWIC652000015","Samuel","Moxay"
"WACWIC652000015","Thomas","Bayley"
"WACWIC652000015","Thomas","Dunn"
"WACWIC652000015","Thomas","Salmon"
"WACWIC652000015","Thomas","Whitefoot"
"WACWIC652000015","William","Machoone"
"WACWIC652000017","Edward","Stephens"
"WACWIC652000017","George","Daley"
"WACWIC652000017","George","Darley"
"WACWIC652000017","George","King"
"WACWIC652000017","George","Lyall"
"WACWIC652000017","Henry","Callis"
"WACWIC652000017","Henry","Peak"
"WACWIC652000017","Jno","Feary"
"WACWIC652000017","John","Count"
"WACWIC652000017","John","Feary"
"WACWIC652000017","John","Gardner"
"WACWIC652000017","John","Grammen"
"WACWIC652000017","John","Parbury"
"WACWIC652000017","John","Rush"
"WACWIC652000017","Richard","James"
"WACWIC652000017","Richard","Larkin"
"WACWIC652000017","Thomas","Clarke"
"WACWIC652000017","Thomas","Cooper"
"WACWIC652000017","William","Rankin"
"WACWIC652000019","Charles","Glover"
"WACWIC652000019","Daniel","Jones"
"WACWIC652000019","Ezra","Ede"
"WACWIC652000019","Jno","Feary"
"WACWIC652000019","Jno","Turner"
"WACWIC652000019","John","Appleton"
"WACWIC652000019","John","Cooper"
"WACWIC652000019","John","Feary"
"WACWIC652000019","John","Harriet"
"WACWIC652000019","John","Shipman"
"WACWIC652000019","John","Smith"
"WACWIC652000019","John","Turner"
"WACWIC652000019","Jonathan","Gibbs"
"WACWIC652000019","Matthew","Buckinger"
"WACWIC652000019","Paul","Turner"
"WACWIC652000019","Robert","Elliot"
"WACWIC652000019","Thomas","Rashby"
"WACWIC652000019","Thomas","Seed"
"WACWIC652000019","William","Harrison"
"WACWIC652000019","William","Sebin"
"WACWIC652000022","Alex","Scholar"
"WACWIC652000022","Alexander","Scollor"
"WACWIC652000022","Charles","Smith"
"WACWIC652000022","Chas","Smith"
"WACWIC652000022","Edward","Hewet"
"WACWIC652000022","Edwd","Hewitt"
"WACWIC652000022","Henry","Russell"
"WACWIC652000022","James","Fisher"
"WACWIC652000022","James","Watkins"
"WACWIC652000022","Jno","Feary"
"WACWIC652000022","John","Boyce"
"WACWIC652000022","John","Bunting"
"WACWIC652000022","John","Feary"
