county,p1600,p1700,src,p1545_63,p1670
Bedfordshire,43550,50163,campop,NA,NA
Berkshire,57537,72924,campop,NA,NA
Buckinghamshire,56698,67767,campop,NA,NA
Cambridgeshire,73318,83959,campop,NA,NA
Cheshire,74738,91382,campop,NA,NA
Cornwall,104064,120718,campop,NA,NA
County Durham,77355,115845,campop,NA,NA
Cumberland,76549,80850,campop,NA,NA
Derbyshire,70586,95185,campop,NA,NA
Devon,261534,323278,campop,NA,NA
Dorset,75815,86462,campop,NA,NA
Essex,156647,164734,campop,NA,NA
Gloucestershire,102410,139448,campop,NA,NA
Hampshire,105384,115304,campop,NA,NA
Herefordshire,62761,68066,campop,NA,NA
Hertfordshire,58766,68542,campop,NA,NA
Huntingdonshire,27942,31982,campop,NA,NA
Kent,153442,160708,campop,NA,NA
Lancashire,183692,232522,campop,NA,NA
Leicestershire,63860,74395,campop,NA,NA
Lincolnshire,175173,195406,campop,NA,NA
Middlesex,283254,522405,campop,NA,NA
Norfolk,173113,230919,campop,NA,NA
Northamptonshire,92113,105246,campop,NA,NA
Northumberland,73754,114729,campop,NA,NA
Nottinghamshire,79039,92193,campop,NA,NA
Oxfordshire,67671,78003,campop,NA,NA
Rutland,11501,13925,campop,NA,NA
Shropshire,79858,111854,campop,NA,NA
Somerset,170910,206409,campop,NA,NA
Staffordshire,78443,114873,campop,NA,NA
Suffolk,139871,159214,campop,NA,NA
Surrey,85770,124263,campop,NA,NA
Sussex,103165,103702,campop,NA,NA
Warwickshire,66201,87439,campop,NA,NA
Westmorland,42680,42067,campop,NA,NA
Wiltshire,116475,136708,campop,NA,NA
Worcestershire,66362,93858,campop,NA,NA
Yorkshire,369781,433176,campop,NA,NA
Anglesey,NA,NA,owen,9770,16175
Breconshire,NA,NA,owen,21190,27185
Caernarvonshire,NA,NA,owen,14920,26225
Cardiganshire,NA,NA,owen,17320,20015
Carmarthenshire,NA,NA,owen,34375,37255
Denbighshire,NA,NA,owen,22482,40820
Flintshire,NA,NA,owen,12570,22899
Glamorgan,NA,NA,owen,29493,48928
Merionethshire,NA,NA,owen,10470,19435
Montgomeryshire,NA,NA,owen,18972,34907
Pembrokeshire,NA,NA,owen,20079,31535
Radnorshire,NA,NA,owen,14185,16295
Monmouthshire,27807,26831,vob,NA,NA
