burial_id,feetotal,fee_l,fee_s,fee_d,fee_as_d
1,0.5.0,0,5,0,60
2,0.5.0,0,5,0,60
3,0.5.0,0,5,0,60
4,0.9.0,0,9,0,108
5,2.3.0,2,3,0,516
6,0.5.0,0,5,0,60
7,0.9.0,0,9,0,108
8,0.10.0,0,10,0,120
9,3.4.0,3,4,0,768
10,0.9.0,0,9,0,108
11,1.1.0,1,1,0,252
12,0.10.0,0,10,0,120
13,0.5.0,0,5,0,60
14,0.5.0,0,5,0,60
15,0.3.6,0,3,6,42
16,0.5.0,0,5,0,60
17,0.5.0,0,5,0,60
18,0.5.0,0,5,0,60
21,1.4.0,1,4,0,288
22,0.10.0,0,10,0,120
23,0.5.0,0,5,0,60
24,0.9.0,0,9,0,108
25,0.5.0,0,5,0,60
26,0.5.0,0,5,0,60
27,0.9.0,0,9,0,108
28,0.5.0,0,5,0,60
29,1.16.0,1,16,0,432
30,1.4.0,1,4,0,288
31,0.3.6,0,3,6,42
32,0.10.0,0,10,0,120
33,0.9.0,0,9,0,108
34,0.5.0,0,5,0,60
35,0.10.0,0,10,0,120
36,0.5.0,0,5,0,60
38,0.9.0,0,9,0,108
39,0.5.0,0,5,0,60
40,0.10.0,0,10,0,120
41,0.5.0,0,5,0,60
42,0.5.0,0,5,0,60
43,0.9.0,0,9,0,108
44,3.4.0,3,4,0,768
45,0.10.0,0,10,0,120
46,0.10.0,0,10,0,120
47,0.5.0,0,5,0,60
48,0.5.0,0,5,0,60
49,0.9.0,0,9,0,108
50,0.5.0,0,5,0,60
51,0.5.0,0,5,0,60
52,0.10.0,0,10,0,120
53,10.3.4,10,3,4,2440
54,0.9.0,0,9,0,108
55,0.9.0,0,9,0,108
56,1.16.0,1,16,0,432
57,0.5.0,0,5,0,60
59,0.9.0,0,9,0,108
60,0.10.0,0,10,0,120
61,0.3.6,0,3,6,42
62,0.3.6,0,3,6,42
63,1.3.0,1,3,0,276
64,0.10.0,0,10,0,120
65,0.3.6,0,3,6,42
67,1.8.0,1,8,0,336
68,0.10.0,0,10,0,120
69,0.5.0,0,5,0,60
70,0.10.0,0,10,0,120
71,0.5.0,0,5,0,60
72,0.5.0,0,5,0,60
73,0.5.0,0,5,0,60
74,0.5.0,0,5,0,60
75,0.19.0,0,19,0,228
76,0.5.0,0,5,0,60
77,0.5.0,0,5,0,60
78,0.9.0,0,9,0,108
79,0.10.0,0,10,0,120
81,0.5.0,0,5,0,60
83,2.3.0,2,3,0,516
85,0.5.0,0,5,0,60
86,0.5.0,0,5,0,60
87,0.19.0,0,19,0,228
88,0.5.0,0,5,0,60
89,0.5.0,0,5,0,60
90,0.5.0,0,5,0,60
91,0.5.0,0,5,0,60
92,0.5.0,0,5,0,60
93,0.10.0,0,10,0,120
94,0.5.0,0,5,0,60
95,0.5.0,0,5,0,60
96,0.3.6,0,3,6,42
