edoc_id,geog_info,parish_place,county,county_country,year,will_sentence
1032100,"Hadley in Winchester, Hampshire",Hadley in Winchester,Hampshire,Hampshire,1588,W
1049609,"Stratford, Suffolk",Stratford,Suffolk,Suffolk,1580,W
1049265,"Lenton, Nottinghamshire",Lenton,Nottinghamshire,Nottinghamshire,1580,W
1050029,London,London,Middlesex,NA,1580,W
1049975,"Bramshaw, Hampshire",Bramshaw,Hampshire,Hampshire,1580,W
1050078,"Burstock, Dorset",Burstock,Dorset,Dorset,1580,W
1049847,London,London,Middlesex,NA,1580,W
1049727,"Chewstoke, Somerset",Chewstoke,Somerset,Somerset,1580,W
1050237,"Tiverton, Devon",Tiverton,Devon,Devon,1580,W
1049972,"Newbottle, Northamptonshire",Newbottle,Northamptonshire,Northamptonshire,1580,W
1049864,"Saint John Walbrook, City of London",Saint John Walbrook,Middlesex,City of London,1580,W
1049766,"Braiseworth, Suffolk",Braiseworth,Suffolk,Suffolk,1580,W
1050140,"Oldland, Gloucestershire",Oldland,Gloucestershire,Gloucestershire,1580,W
1050104,"Collington, Herefordshire",Collington,Herefordshire,Herefordshire,1580,W
1050174,"Chipping Camden, Gloucestershire",Chipping Camden,Gloucestershire,Gloucestershire,1580,W
1050275,"Boscombe, Wiltshire",Boscombe,Wiltshire,Wiltshire,1580,W
1050114,"Tiverton, Devon",Tiverton,Devon,Devon,1580,W
1049738,"Saint Dunstan in the West, City of London",Saint Dunstan in the West,Middlesex,City of London,1580,W
1050048,London,London,Middlesex,NA,1580,W
1049931,"Gunby, Lincolnshire",Gunby,Lincolnshire,Lincolnshire,1580,W
1049751,"Camberwell, Surrey",Camberwell,Surrey,Surrey,1580,W
1049995,"Cantref, Breconshire",Cantref,Breconshire,Breconshire,1580,W
1050178,London,London,Middlesex,NA,1580,W
1049927,"Saint Olave Southwark, Surrey",Saint Olave Southwark,Surrey,Surrey,1580,W
1049918,"Goodleigh, Devon",Goodleigh,Devon,Devon,1580,W
1049956,"Westhorpe, Suffolk",Westhorpe,Suffolk,Suffolk,1580,W
1049907,"Croft, Lincolnshire",Croft,Lincolnshire,Lincolnshire,1580,W
1049826,"Salisbury, Wiltshire",Salisbury,Wiltshire,Wiltshire,1580,W
1049801,Saint Botolph without Aldgate London,Saint Botolph without Aldgate London,Middlesex,NA,1580,W
1049775,"Carton, Suffolk",Carton,Suffolk,Suffolk,1580,W
1050201,"Epsom, Surrey",Epsom,Surrey,Surrey,1580,W
1050126,"Great Munden, Hertfordshire",Great Munden,Hertfordshire,Hertfordshire,1580,W
1049753,"Peterborough, Northamptonshire",Peterborough,Northamptonshire,Northamptonshire,1580,W
1049840,London,London,Middlesex,NA,1580,W
1049887,"Shrewsbury, Shropshire",Shrewsbury,Shropshire,Shropshire,1580,W
1049867,London,London,Middlesex,NA,1580,W
1049740,"Brandon Ferry, Norfolk",Brandon Ferry,Norfolk,Norfolk,1580,W
1049836,London,London,Middlesex,NA,1580,W
1050067,"Winchester, Hampshire",Winchester,Hampshire,Hampshire,1580,W
1050081,"Backwell, Somerset",Backwell,Somerset,Somerset,1580,W
1049935,"Bitton, Gloucestershire",Bitton,Gloucestershire,Gloucestershire,1580,W
1049837,"Yardley, Worcestershire",Yardley,Worcestershire,Worcestershire,1580,W
1049790,"Sutton Saint Edmund, Lincolnshire",Sutton Saint Edmund,Lincolnshire,Lincolnshire,1580,W
1050053,"Llangwrig, Montgomeryshire",Llangwrig,Montgomeryshire,Montgomeryshire,1580,W
1050165,"Edwardston, Suffolk",Edwardston,Suffolk,Suffolk,1580,W
1049884,"Brackley, Northamptonshire",Brackley,Northamptonshire,Northamptonshire,1580,W
1050085,"Saint Sepulchre, Middlesex",Saint Sepulchre,Middlesex,Middlesex,1580,W
1049965,"Southrop, Gloucestershire",Southrop,Gloucestershire,Gloucestershire,1580,W
1050058,"Salisbury, Wiltshire",Salisbury,Wiltshire,Wiltshire,1580,W
1049805,London,London,Middlesex,NA,1580,W
1050024,"Saint Botolph near Aldersgate, City of London",Saint Botolph near Aldersgate,Middlesex,City of London,1580,W
1049990,"Ballingdon, Essex",Ballingdon,Essex,Essex,1580,W
1049889,"New Chipping, Hertfordshire",New Chipping,Hertfordshire,Hertfordshire,1580,W
1050158,"Northampton, Northamptonshire",Northampton,Northamptonshire,Northamptonshire,1580,W
1049874,"Windsor, Berkshire",Windsor,Berkshire,Berkshire,1580,W
1049810,London,London,Middlesex,NA,1580,W
1050231,"Luxborowe, Essex",Luxborowe,Essex,Essex,1580,W
1049815,"Saint Clement Danes, Middlesex",Saint Clement Danes,Middlesex,Middlesex,1580,W
1049846,"Woking, Surrey",Woking,Surrey,Surrey,1580,W
1049809,"Bristol, Gloucestershire",Bristol,Gloucestershire,Gloucestershire,1580,W
1050263,"Loders, Dorset",Loders,Dorset,Dorset,1580,W
