id,county,region,county_hcp
C18618348,Cambridgeshire,East of England,Cambridgeshire
C18618349,Hertfordshire,East of England,Hertfordshire
C18618351,Nottinghamshire,East Midlands,Nottinghamshire
C18618352,Hampshire,South East England,Hampshire
C18618353,Wiltshire,South West England,Wiltshire
C18618354,Norfolk,East of England,Norfolk
C18618355,Yorkshire,Yorkshire and the Humber,Yorkshire
C18618356,Herefordshire,West Midlands,Herefordshire
C18618359,Derbyshire,East Midlands,Derbyshire
C18618361,Middlesex,London,Middlesex
C18618362,Sussex,South East England,Sussex
C18618363,Carmarthenshire,Wales,Carmarthenshire
C18618364,Cambridgeshire,East of England,Cambridgeshire
C18618366,Oxfordshire,South East England,Oxfordshire
C18618367,Oxfordshire,South East England,Oxfordshire
C18618368,Lincolnshire,East Midlands,Lincolnshire
C18618369,Dorset,South West England,Dorset
C18618371,Cambridgeshire,East of England,Cambridgeshire
C18618373,Huntingdonshire,East of England,Huntingdonshire
C18618374,Bedfordshire,East of England,Bedfordshire
C18618376,Northamptonshire,East Midlands,Northamptonshire
C18618377,Middlesex,London,Middlesex
C18618378,Suffolk,East of England,Suffolk
C18618380,Middlesex,London,Middlesex
C18618381,Wiltshire,South West England,Wiltshire
C18618383,Shropshire,West Midlands,Shropshire
C18618384,Essex,East of England,Essex
C18618385,Middlesex,London,Middlesex
C18618386,Hertfordshire,East of England,Hertfordshire
C18618387,Yorkshire,Yorkshire and the Humber,Yorkshire
C18618389,Middlesex,London,Middlesex
C18618390,Middlesex,London,Middlesex
C18618391,Bedfordshire,East of England,Bedfordshire
C18618392,Middlesex,London,Middlesex
C18618393,Middlesex,London,Middlesex
C18618394,Cambridgeshire,East of England,Cambridgeshire
C18618395,Derbyshire,East Midlands,Derbyshire
C18618396,Yorkshire,Yorkshire and the Humber,Yorkshire
C18618397,Essex,East of England,Essex
C18618398,Hertfordshire,East of England,Hertfordshire
C18618399,Essex,East of England,Essex
C18618401,Wiltshire,South West England,Wiltshire
C18618402,Yorkshire,Yorkshire and the Humber,Yorkshire
C18618403,Norfolk,East of England,Norfolk
C18618405,Berkshire,South East England,Berkshire
C18618406,Buckinghamshire,South East England,Buckinghamshire
C18618407,Oxfordshire,South East England,Oxfordshire
C18618408,Lincolnshire,East Midlands,Lincolnshire
C18618409,Kent,South East England,Kent
C18618410,Wiltshire,South West England,Wiltshire
C18618411,Middlesex,London,Middlesex
C18618412,Dorset,South West England,Dorset
C18618414,Wiltshire,South West England,Wiltshire
C18618415,Middlesex,London,Middlesex
C18618416,Berkshire,South East England,Berkshire
C18618419,Worcestershire,West Midlands,Worcestershire
C18618420,Middlesex,London,Middlesex
C18618423,Middlesex,London,Middlesex
C18618426,Essex,East of England,Essex
C18618429,Norfolk,East of England,Norfolk
C18618431,Hampshire,South East England,Hampshire
C18618432,Lincolnshire,East Midlands,Lincolnshire
C18618434,Wiltshire,South West England,Wiltshire
C18618435,Middlesex,London,Middlesex
C18618436,Buckinghamshire,South East England,Buckinghamshire
C18618438,Essex,East of England,Essex
C18618439,Buckinghamshire,South East England,Buckinghamshire
C18618440,Leicestershire,East Midlands,Leicestershire
C18618441,Hampshire,South East England,Hampshire
C18618442,Huntingdonshire,East of England,Huntingdonshire
C18618443,Surrey,South East England,Surrey
C18618444,Hertfordshire,East of England,Hertfordshire
C18618445,Middlesex,London,Middlesex
C18618446,Middlesex,London,Middlesex
C18618447,Middlesex,London,Middlesex
C18618448,Buckinghamshire,South East England,Buckinghamshire
C18618449,Middlesex,London,Middlesex
C18618451,Middlesex,London,Middlesex
C18618453,Staffordshire,West Midlands,Staffordshire
C18618454,Surrey,South East England,Surrey
C18618455,Kent,South East England,Kent
C18618456,Middlesex,London,Middlesex
C18618457,Middlesex,London,Middlesex
C18618458,Essex,East of England,Essex
C18618459,Middlesex,London,Middlesex
C18618460,Hertfordshire,East of England,Hertfordshire
C18618461,Cornwall,South West England,Cornwall
C18618463,Warwickshire,West Midlands,Warwickshire
C18618465,Middlesex,London,Middlesex
C18618468,Hertfordshire,East of England,Hertfordshire
C18618469,Montgomeryshire,Wales,Montgomeryshire
C18618471,Suffolk,East of England,Suffolk
C18618472,Oxfordshire,South East England,Oxfordshire
C18618473,Middlesex,London,Middlesex
C18618474,Sussex,South East England,Sussex
C18618475,Berkshire,South East England,Berkshire
C18618477,Middlesex,London,Middlesex
C18618478,Sussex,South East England,Sussex
C18618481,Herefordshire,West Midlands,Herefordshire
C18618482,Devon,South West England,Devon
C18618483,Yorkshire,Yorkshire and the Humber,Yorkshire
C18618484,Middlesex,London,Middlesex
C18618485,Yorkshire,Yorkshire and the Humber,Yorkshire
C18618486,Lancashire,North West England,Lancashire
C18618487,Somerset,South West England,Somerset
C18618488,Yorkshire,Yorkshire and the Humber,Yorkshire
C18618489,Norfolk,East of England,Norfolk
C18618491,Norfolk,East of England,Norfolk
C18618492,Norfolk,East of England,Norfolk
C18618495,Devon,South West England,Devon
C18618496,Kent,South East England,Kent
C18618497,Middlesex,London,Middlesex
C18618498,Middlesex,London,Middlesex
C18618499,Essex,East of England,Essex
C18618500,Staffordshire,West Midlands,Staffordshire
C18618501,Middlesex,London,Middlesex
C18618502,Montgomeryshire,Wales,Montgomeryshire
C18618503,Middlesex,London,Middlesex
C18618504,Middlesex,London,Middlesex
C18618505,Lincolnshire,East Midlands,Lincolnshire
C18618506,Middlesex,London,Middlesex
C18618507,Berkshire,South East England,Berkshire
C18618508,Wiltshire,South West England,Wiltshire
C18618510,Shropshire,West Midlands,Shropshire
C18618512,Leicestershire,East Midlands,Leicestershire
C18618513,Middlesex,London,Middlesex
C18618514,Oxfordshire,South East England,Oxfordshire
C18618515,Hertfordshire,East of England,Hertfordshire
C18618516,Norfolk,East of England,Norfolk
C18618517,County Durham,North East England,County Durham
C18618518,Essex,East of England,Essex
C18618519,Devon,South West England,Devon
C18618520,Monmouthshire,Wales,Monmouthshire
C18618522,Middlesex,London,Middlesex
C18618523,Buckinghamshire,South East England,Buckinghamshire
C18618524,Lincolnshire,East Midlands,Lincolnshire
C18618525,Essex,East of England,Essex
C18618526,Kent,South East England,Kent
C18618527,Middlesex,London,Middlesex
C18618529,Hampshire,South East England,Hampshire
C18618531,Suffolk,East of England,Suffolk
C18618532,Middlesex,London,Middlesex
C18618533,Leicestershire,East Midlands,Leicestershire
C18618534,Somerset,South West England,Somerset
C18618536,Essex,East of England,Essex
C18618537,Oxfordshire,South East England,Oxfordshire
C18618539,Norfolk,East of England,Norfolk
C18618540,Middlesex,London,Middlesex
C18618541,Kent,South East England,Kent
C18618541,Middlesex,London,Middlesex
C18618542,Essex,East of England,Essex
C18618542,Kent,South East England,Kent
C18618543,Somerset,South West England,Somerset
C18618544,Middlesex,London,Middlesex
C18618545,Suffolk,East of England,Suffolk
C18618546,Carmarthenshire,Wales,Carmarthenshire
C18618546,Kent,South East England,Kent
C18618547,Oxfordshire,South East England,Oxfordshire
C18618547,Hampshire,South East England,Hampshire
C18618547,Sussex,South East England,Sussex
C18618547,Lincolnshire,East Midlands,Lincolnshire
C18618548,Bedfordshire,East of England,Bedfordshire
C18618549,Middlesex,London,Middlesex
C18618550,Norfolk,East of England,Norfolk
C18618551,Wiltshire,South West England,Wiltshire
C18618552,Derbyshire,East Midlands,Derbyshire
C18618553,Hertfordshire,East of England,Hertfordshire
C18618554,Staffordshire,West Midlands,Staffordshire
C18618555,Suffolk,East of England,Suffolk
C18618559,Middlesex,London,Middlesex
C18618560,Norfolk,East of England,Norfolk
