id,code,label
C9244422,C10055,Litigation
C18602555,C10056,Manors
C18602558,C10056,Manors
C18602560,C10077,Pay and pensions
C18602563,C10059,Marriage and divorce
C18602565,C10056,Manors
C18602567,C10056,Manors
C18602568,C10036,Farming
C18602569,C10058,Maps and plans
C18602572,C10023,Crime
C18602572,C10111,Treason and rebellion
C18602573,C10036,Farming
C18602588,C10077,Pay and pensions
C18602600,C10059,Marriage and divorce
C18602601,C10056,Manors
C18602602,C10025,Debt
C18602607,C10036,Farming
C18602608,C10025,Debt
C18602611,C10056,Manors
C18602613,C10056,Manors
C18602618,C10056,Manors
C18602626,C10107,Tithes
C18602628,C10116,Wills and probate
C18602632,C10056,Manors
C18602641,C10077,Pay and pensions
C18602643,C10025,Debt
C18602651,C10056,Manors
C18602662,C10056,Manors
C18602669,C10056,Manors
C18602675,C10056,Manors
C18602679,C10056,Manors
C18602689,C10025,Debt
C18602690,C10056,Manors
C18602691,C10056,Manors
C18602693,C10056,Manors
C18602696,C10056,Manors
C18602697,C10036,Farming
C18602700,C10056,Manors
C18602712,C10056,Manors
C18602720,C10036,Farming
C18602722,C10056,Manors
C18602730,C10056,Manors
C18602731,C10056,Manors
C18602736,C10025,Debt
C18602739,C10056,Manors
C18602740,C10025,Debt
C18602741,C10116,Wills and probate
C18602742,C10056,Manors
C18602749,C10012,Children
C18602755,C10025,Debt
C18602759,C10056,Manors
C18602760,C10056,Manors
C18602761,C10056,Manors
C18602763,C10056,Manors
C18602774,C10056,Manors
C18602776,C10036,Farming
C18602781,C10056,Manors
C18602783,C10056,Manors
C18602786,C10056,Manors
C18602787,C10093,Religions
C18602791,C10056,Manors
C18602793,C10056,Manors
C18602798,C10056,Manors
C18602806,C10056,Manors
C18602817,C10059,Marriage and divorce
C18602817,C10056,Manors
C18602826,C10022,Conveyancing
C18602830,C10014,Coal
C18602833,C10101,Sewerage
C18602850,C10056,Manors
C18602858,C10056,Manors
C18602864,C10116,Wills and probate
C18602868,C10025,Debt
C18602869,C10025,Debt
C18602878,C10056,Manors
C18602890,C10056,Manors
C18602893,C10025,Debt
C18602894,C10056,Manors
C18602917,C10056,Manors
C18602918,C10056,Manors
C18602919,C10108,Trade and commerce
C18602923,C10059,Marriage and divorce
C18602927,C10023,Crime
C18602927,C10039,Food and drink
C18602930,C10056,Manors
C18602946,C10056,Manors
C18602951,C10056,Manors
C18602954,C10056,Manors
C18602955,C10056,Manors
C18602972,C10116,Wills and probate
C18602975,C10056,Manors
C18602981,C10056,Manors
C18602981,C10077,Pay and pensions
C18602985,C10056,Manors
C18602990,C10116,Wills and probate
C18602995,C10056,Manors
C18602996,C10036,Farming
C18603000,C10039,Food and drink
C18603000,C10077,Pay and pensions
C18603010,C10056,Manors
C18603012,C10085,Prisons
C18603013,C10025,Debt
C18603017,C10056,Manors
C18603021,C10036,Farming
C18603022,C10056,Manors
C18603024,C10116,Wills and probate
C18603039,C10025,Debt
C18603042,C10056,Manors
C18603048,C10036,Farming
C18603061,C10056,Manors
C18607406,C10056,Manors
C18607408,C10025,Debt
C18607412,C10036,Farming
C18607419,C10116,Wills and probate
C18607420,C10056,Manors
C18607431,C10116,Wills and probate
C18607433,C10056,Manors
C18607437,C10056,Manors
C18607439,C10056,Manors
C18607440,C10056,Manors
C18607441,C10056,Manors
C18607444,C10056,Manors
C18607450,C10131,Europe and Russia
C18607457,C10056,Manors
C18607459,C10056,Manors
C18607462,C10056,Manors
C18607468,C10056,Manors
C18607474,C10108,Trade and commerce
C18607477,C10056,Manors
C18607484,C10056,Manors
C18607489,C10040,Forestry
C18607496,C10056,Manors
C18607499,C10025,Debt
C18607500,C10077,Pay and pensions
C18607510,C10056,Manors
C18607510,C10077,Pay and pensions
C18607517,C10056,Manors
C18607520,C10056,Manors
C18607521,C10056,Manors
C18607524,C10025,Debt
C18607534,C10040,Forestry
C18607534,C10056,Manors
C18607534,C10036,Farming
C18607539,C10056,Manors
C18607541,C10025,Debt
C18607544,C10056,Manors
C18607546,C10039,Food and drink
C18607550,C10056,Manors
C18607552,C10056,Manors
C18607557,C10025,Debt
C18607558,C10007,Banking
C18607558,C10022,Conveyancing
C18607559,C10056,Manors
C18607567,C10077,Pay and pensions
C18607570,C10096,Research
C18607574,C10077,Pay and pensions
C18607576,C10116,Wills and probate
C18607579,C10025,Debt
C18607588,C10116,Wills and probate
C18607599,C10056,Manors
C18607607,C10025,Debt
C18607608,C10056,Manors
C18607609,C10056,Manors
C18607619,C10056,Manors
C18607620,C10025,Debt
C18607621,C10056,Manors
C18607626,C10056,Manors
C18607630,C10056,Manors
C18607631,C10036,Farming
C18607642,C10025,Debt
C18607645,C10107,Tithes
C18607658,C10025,Debt
C18607660,C10059,Marriage and divorce
C18607661,C10059,Marriage and divorce
C18607661,C10056,Manors
C18607665,C10107,Tithes
C18607667,C10059,Marriage and divorce
C18607672,C10010,Charities
C18607685,C10025,Debt
C18607689,C10025,Debt
C18607693,C10056,Manors
C18607695,C10056,Manors
C18607695,C10010,Charities
C18607697,C10025,Debt
C18607716,C10025,Debt
C18607723,C10025,Debt
C18607724,C10056,Manors
C18607725,C10025,Debt
C18607730,C10056,Manors
C18607734,C10056,Manors
C18607737,C10025,Debt
C18607746,C10093,Religions
C18607752,C10056,Manors
C18607764,C10013,Clothing
C18607766,C10025,Debt
C18607768,C10025,Debt
C18607773,C10107,Tithes
C18607782,C10013,Clothing
C18607789,C10107,Tithes
C18607793,C10025,Debt
C18607794,C10025,Debt
C18607794,C10085,Prisons
C18607803,C10056,Manors
C18607805,C10056,Manors
C18618348,C10055,Litigation
C18618349,C10055,Litigation
C18618350,C10055,Litigation
C18618350,C10025,Debt
C18618351,C10055,Litigation
C18618352,C10055,Litigation
C18618353,C10055,Litigation
C18618353,C10056,Manors
C18618354,C10055,Litigation
C18618354,C10056,Manors
C18618355,C10055,Litigation
C18618355,C10056,Manors
C18618356,C10055,Litigation
C18618358,C10055,Litigation
C18618359,C10055,Litigation
C18618359,C10056,Manors
C18618360,C10055,Litigation
